AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
2,3,3,55,4328320,541182,4,0,1,2,,,1,0,2,7
2,1,2,50,,,3,0,3,4,,,1,0,2,4
2,1,2,306,,,4,0,2,0,,,1,0,2,4
1,1,1,413,0,0,3,43,0,2,0,0,1,0,2,3
2,1,6,445,4,-,4,0,1,1,0,0,1,0,2,1
2,1,3,191,,,4,0,2,2,,,1,3,2,3
2,1,2,149,4360675,134966,2,124,3,3,7,206,1,0,2,4
2,1,3,55,4329414,538211,4,0,2,4,,,1,0,2,5
2,2,3,300,,,4,0,2,2,,,1,14,2,8
1,1,6,2,4527420,598670,3,281,2,2,0,0,3,13,0,1
1,1,6,131,0,0,3,95,2,0,15,0,3,13,0,1
1,1,7,5,,,1,46,3,2,0,700,1,3,0,1
1,3,3,16,,,4,0,2,2,,,1,0,2,8
2,2,6,106,,,4,0,2,2,,,1,0,1,3
2,2,3,41,,,4,0,2,2,,,1,0,2,2
2,2,3,44,,,4,0,1,1,,,1,0,2,2
2,1,7,55,4326310,539632,3,559,1,1,2,840,1,0,0,0
2,3,3,15,,,4,0,2,2,0,1,1,0,2,7
2,2,7,329,,,4,0,2,2,,,1,0,1,2
2,2,3,121,4774012,-337522,4,0,1,1,,,1,0,2,1
2,1,3,4,,,4,,1,2,3009,5,1,0,2,8
2,1,1,11,,,2,2,3,4,2,200,1,14,2,7
2,1,3,480,4909664,614204,3,657,2,2,,,1,0,2,6
2,2,3,101,,,4,0,2,4,,,1,0,2,3
2,1,6,169,,,4,0,2,2,,,1,15,2,1
1,2,3,205,4712190,236631,3,2076,3,2,65,864,1,0,2,1
1,1,1,110,4403700,609500,2,85,2,2,32,300,1,0,2,3
2,1,3,33,0,0,4,0,2,2,,,1,0,2,3
2,1,2,57,,,2,,3,3,,,1,0,2,4
1,1,1,88,4695500,204500,4,0,2,2,0,0,1,0,2,3
2,1,2,119,,,4,0,2,2,,,1,0,0,5
